id,projection_density,projection_intensity,experiment_id,structure_id,volume
633910361,5.1950286602394705e-05,49.7499219461952,146858006,1048,2.892688736
633909930,3.9110079383590294e-05,175.828049477785,146858006,619,0.3522267098
633910142,0.00343681419112445,739.52619205143,146858006,843,1.0284958095999999
633910100,0.00576796589505875,573.052003968965,146858006,795,5.1749055232
633910005,0.000179440992648907,289.457943314403,146858006,685,1.0239248544
633910322,0.0012849453881573802,1959.5488395529603,146858006,1007,6.2798926848
633909658,0.000131475617346219,201.14295476981601,146858006,345,6.846106099
633909832,0.0698756411817412,634.245858598954,146858006,533,1.1562623198
633909528,0.0,0.0,146858006,231,0.04747806
633909497,3.3490102886272e-05,56.819346727065295,146858006,203,0.06757884
633910046,0.00232801518448028,570.20258616176,146858006,723,3.0077567198
633910356,0.0771457361129283,889.0671700626981,146858006,1044,0.06741126
633909879,0.0,0.0,146858006,576,0.00620487
633909311,2.7653687104306803e-06,93.42378663413228,146858006,15,0.25352208
633909773,0.0,0.0,146858006,460,0.01045611
633910488,0.0,0.0,146858006,549009211,0.01803249
633909919,0.000787548455548602,337.23373866453204,146858006,609,0.14622237
633909488,0.00013214948316276698,169.92078353417298,146858006,194,2.2761200896
633909534,0.00023948992795501698,48.509779587713794,146858006,235,0.6281317252
633909798,2.11647381220576e-05,69.320225251998,146858006,491,0.5954999302
633909969,0.0,0.0,146858006,653,0.03344103
633909962,5.57445815518811e-05,135.285106591772,146858006,647,2.7536877312
633909886,2.1660987097131697e-06,70.9290219954249,146858006,581,0.39232461520000006
633910090,0.0,0.0,146858006,781,0.02588229
633909949,0.00498524047423277,487.706961419143,146858006,634,0.31940307
633909940,0.0401880097454714,814.0081753011181,146858006,628,0.22654169999999998
633910445,0.0232193384032441,619.310653543332,146858006,484682508,0.36011397520000005
633909794,5.34373062323601e-06,453.1909001795,146858006,1105,0.2014421752
633910332,2.32272749247478e-05,70.07467060464029,146858006,1017,11.91320928
633910471,0.0852122327618208,711.3352905168829,146858006,312782574,0.542524815
633910038,3.47098581365494e-05,77.1915842146138,146858006,711,0.36713669439999996
633910336,0.00140209660982382,338.141651703265,146858006,1020,1.3810112959999998
633909298,0.000131902097325034,161.10066483951,146858006,1,0.118851705
633909509,2.0426719551348396e-05,154.499996931875,146858006,214,0.8685119856
633909767,8.169414336866789e-06,37.4264091762259,146858006,452,0.04438665
633909339,0.000508186260138196,420.759835032171,146858006,44,0.9308649952
633909522,1.6508100904148998e-05,139.11360902196301,146858006,225,0.8258452944
633909432,1.1124383962672e-05,54.497443041108205,146858006,136,3.0565633952
633909718,0.000307928050174004,349.656425162019,146858006,403,2.2365116256
633909444,0.0028565281224852803,164.57367478367,146858006,146,2.6052669664
633909304,1.0147573111444801e-05,90.82578179865179,146858006,7,1.2194488096
633909653,0.000178937776642719,344.68865511181394,146858006,342,3.3373910976
633910171,0.0,0.0,146858006,880,0.114366735
633910250,8.475821529602671e-05,215.130523035652,146858006,961,12.752412288
633909889,0.0111366738970525,471.628503170105,146858006,583,0.6071886352
633909383,0.000269032728066073,230.921409604024,146858006,96,0.6749460704000001
633910071,0.0,0.0,146858006,757,0.041376825
633909922,0.007968099323377291,224.856540358912,146858006,612,0.7979718208
633909641,0.0,0.0,146858006,332,0.006850935
633909420,4.3227802252731e-05,299.74925349193404,146858006,127,0.45271076479999994
633910179,0.030772556795747,604.0302287425969,146858006,894,2.5986851786000003
633909407,0.000106658440405486,57.904247700534604,146858006,118,0.22605219
633909884,0.0841077408527878,653.548825399582,146858006,580,0.096938415
633909351,0.00032822008351961803,701.042485739171,146858006,56,4.8525059072
633909430,3.0387570402845195e-05,58.7254343030068,146858006,135,0.04750452
633910309,0.0031029497076834,440.40674565272906,146858006,993,14.4416783602
